Title,average_rating,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount,description_length
Angelique: The Marquise of the Angels,4.952941176470588,Angelique is consumed by the desire for revenge when her husband is accused of witchcraft during the Inquisition,"['Anne Golon', 'Sergeanne Golon', 'Rita Barisse']",http://books.google.com/books/content?id=otwDAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=otwDAAAACAAJ&dq=Angelique:+The+Marquise+of+the+Angels&hl=&cd=1&source=gbs_api,G K Hall & Company,1995-01-01,http://books.google.nl/books?id=otwDAAAACAAJ&dq=Angelique:+The+Marquise+of+the+Angels&hl=&source=gbs_api,['Fiction'],2.0,112
Azucar! The Story of Sugar,4.919117647058823,"AZUCAR! The Story of Sugar is a fictional novel that offers a gripping testimony to the unmasked brutality and decay of daily life on a contemporary Caribbean sugarcane plantation, Esperanza Dulce. Azucar, the intelligent and beautiful young girl, is the central character, but the omnipresent protagonist is her namesake, ""azucar"" -- sugar itself. Azucar?s story is a complex and hauntingly atmospheric tale of sustained intrigue, murder, revenge, forbidden love, and an unnerving journey into the mystical spirit world of Caribbean ritual. Even after Azucar?s fiercely determined grandmother arranges for her to emigrate to Canada -- with a most unlikely couple-- where she is dramatically transformed, she is still not completely free from the hypnotic pull of the distant Caribbean plantation. Azucar meets and falls in love with Lucien, whose own mysterious history shockingly brings them both back to Esperanza Dulce to confront the terrifying ghosts of an unknowingly shared past.",['Alan Cambeira'],http://books.google.com/books/content?id=JFLRAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=JFLRAAAACAAJ&dq=Azucar!+The+Story+of+Sugar&hl=&cd=1&source=gbs_api,,2001-01-01,http://books.google.com/books?id=JFLRAAAACAAJ&dq=Azucar!+The+Story+of+Sugar&hl=&source=gbs_api,['Dominican Republic'],,987
Betty Crocker's cooky book,4.9094827586206895,"Fresh from the Betty Crocker kitchens comes a collection of recipes for more than 240 different kinds of cookies, including super-easy cookie bars and no-roll sugar cookies. Each chapter features the recipe for a most requested cookie with easy-to-follow instructions.",['Betty Crocker'],,http://books.google.nl/books?id=DUduswEACAAJ&dq=Betty+Crocker%27s+cooky+book&hl=&cd=1&source=gbs_api,Western Publishing Company,1963,http://books.google.nl/books?id=DUduswEACAAJ&dq=Betty+Crocker%27s+cooky+book&hl=&source=gbs_api,['Baking'],16.0,268
Diary of a Wombat (Ala Notable Children's Books. Younger Readers (Awards)),4.903225806451613,"In his diary, a wombat describes his life of eating, sleeping, and getting to know some new human neighbors.","['Jackie French', 'Bruce Whatley']",http://books.google.com/books/content?id=hODzavpFscoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=hODzavpFscoC&printsec=frontcover&dq=Diary+of+a+Wombat+(Ala+Notable+Children%27s+Books.+Younger+Readers+(Awards))&hl=&cd=1&source=gbs_api,Houghton Mifflin Harcourt,2003,http://books.google.com/books?id=hODzavpFscoC&dq=Diary+of+a+Wombat+(Ala+Notable+Children%27s+Books.+Younger+Readers+(Awards))&hl=&source=gbs_api,['Juvenile Fiction'],25.0,108
Faith of My Fathers (Chronicles of the Kings #4),4.913043478260869,"Memorable Bible-Era Fiction From Award-Winning Author King Manaseh and his friend Joshua were nurtured together in the faith of their godly fathers. but anger toward God smolders in Manasseh's heart after his father's unexpected death, and his insecurity makes him easy prey for the false claims of sorcery and divination. When Joshua stands up for the truth, the battle lines are drawn, and Joshua must flee his life of privilege. Unable to understand why his boyhood friend has turned against him, and why he must stand alone in the face of such opposition, Joshua comes perilously close to losing his faith. Can Joshua rescue the faithful remnant from Manasseh's persecution? Has it all gone too far..or will he rediscover his father's God? Faith of My Fathers is a riveting story of intrigue, deception, danger, and suspense.",['Lynn Austin'],http://books.google.com/books/content?id=xFISod4-Sf4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=xFISod4-Sf4C&printsec=frontcover&dq=Faith+of+My+Fathers+(Chronicles+of+the+Kings&hl=&cd=1&source=gbs_api,Bethany House,2006-02-01,https://play.google.com/store/books/details?id=xFISod4-Sf4C&source=gbs_api,['Fiction'],5.0,829
Figure drawing,4.90625,"Many of us want to learn “how to draw.” But as artist Anthony Ryder explains, it’s much more important to learn what to draw. In other words, to observe and draw what we actually see, rather than what we think we see. When it comes to drawing the human figure, this means letting go of learned ideas and expectation of what the figure should look like. It means carefully observing the interplay of form and light, shape and line, that combine to create the actual appearance of human form. In The Artist’s Complete Guide to Figure Drawing, amateur and experienced artists alike are guided toward this new way of seeing and drawing the figure with a three-step drawing method. The book’s progressive course starts with the block-in, an exercise in seeing and establishing the figure’s shape. It then build to the contour, a refined line drawing that represents the figure’s silhouette. The last step is tonal work on the inside of the contour, when light and shadow are shaped to create the illusion of form. Separate chapters explore topics critical to the method: gesture, which expresses a sense of living energy to the figure; light, which largely determines how we see the model; and form, which conveys the figure’s volume and mass. Examples, step-by-steps, and special “tips” offer helpful hints and practical guidance throughout. Lavishly illustrated with the author’s stunning artwork, The Artist’s Complete Guide to Figure Drawing combines solid instruction with thoughtful meditations on the art of drawing, to both instruct and inspire artists of all levels.",['Anthony Ryder'],http://books.google.com/books/content?id=La66AQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=La66AQAAQBAJ&printsec=frontcover&dq=Figure+drawing&hl=&cd=1&source=gbs_api,Watson-Guptill,2014-03-02,https://play.google.com/store/books/details?id=La66AQAAQBAJ&source=gbs_api,['Art'],4.0,1570
God's Smuggler,4.931034482758621,"With over ten million copies sold, God's Smuggler has thrilled and inspired readers for more than forty years. It tells the true story of how a young Dutchman risked his life to bring faith and hope to believers behind the Iron Curtain. Now updated with new material from interviews with Brother Andrew, he tells of his adventures as his ministry took him to the Middle East, Africa, China, Israel, Pakistan and other places of great danger and extraordinary opportunities. With new relevance, and at such a poignant time for persecuted Christians, this book is set to inspire a whole new generation of readers.","['Brother Andrew', 'John Sherrill', 'Elizabeth Sherrill']",http://books.google.com/books/content?id=dnPvHwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=dnPvHwAACAAJ&dq=God%27s+Smuggler&hl=&cd=1&source=gbs_api,,2008-05-01,http://books.google.nl/books?id=dnPvHwAACAAJ&dq=God%27s+Smuggler&hl=&source=gbs_api,['Evangelistic work'],67.0,611
Golf in Scotland: A Travel-Planning Guide with Profiles of 68 Great Courses,4.96969696969697,"Golf in Scotland is designed to help travelers plan affordable, informed golf trips to Scotland. Seven chapters offer advice on when to go, where to go, air travel, rental cars, lodging, and other travel decisions. St. Andrews receives special attention in its own chapter. Extensive descriptions of sixty-eight Scottish courses and their settings include complete contact and booking information. A bonus section detailing five new Scottish courses is featured in what many consider the ""bible"" of Scottish golf travel. Appendices include a ""Golf-Readiness Checklist,"" a compendium of useful websites, and an annotated bibliography for further reading. Fully indexed for subject searching.",['Allan McAllister Ferguson'],http://books.google.com/books/content?id=x_zEPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=x_zEPgAACAAJ&dq=Golf+in+Scotland:+A+Travel-Planning+Guide+with+Profiles+of+68+Great+Courses&hl=&cd=1&source=gbs_api,,2009-02-01,http://books.google.com/books?id=x_zEPgAACAAJ&dq=Golf+in+Scotland:+A+Travel-Planning+Guide+with+Profiles+of+68+Great+Courses&hl=&source=gbs_api,['Sports & Recreation'],,690
Ingathering: The Complete People Stories of Zenna Henderson,4.902777777777778,The complete people Stories.,"['Zenna Henderson', 'Mark Olson']",http://books.google.com/books/content?id=cP4OAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=cP4OAQAAMAAJ&q=Ingathering:+The+Complete+People+Stories+of+Zenna+Henderson&dq=Ingathering:+The+Complete+People+Stories+of+Zenna+Henderson&hl=&cd=1&source=gbs_api,Nesfa Press,1995,http://books.google.com/books?id=cP4OAQAAMAAJ&dq=Ingathering:+The+Complete+People+Stories+of+Zenna+Henderson&hl=&source=gbs_api,['Fiction'],10.0,28
Lilla Belle: The First Stages,5.0,"In this deeply touching tear-jerker, Michelle Cole tells the unforgettable, moving story, of a vibrant, courageous young girl, who is wise beyond her years. At age five, Lilla Belle and her best friend, Ivana, start school. It is during this time, the two friends meet, Shemara, another kindergartner, with whom they become fast friends. Although Shemara appears to be happy at school, she is a young girl with secrets too horrible to tell, with hurts so deep, they may never heal. With rare determination, wisdom, and unselfishness, Lilla Belle helps change this young girl's life, forever. Lilla Belle the First Stages, isn't just great fiction, it is an important piece of life!",['Michelle Cole'],http://books.google.com/books/content?id=YkVfeN-xC8wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=YkVfeN-xC8wC&printsec=frontcover&dq=Lilla+Belle:+The+First+Stages&hl=&cd=1&source=gbs_api,Write World,2003-02-01,http://books.google.com/books?id=YkVfeN-xC8wC&dq=Lilla+Belle:+The+First+Stages&hl=&source=gbs_api,['Fiction'],1.0,681
